ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
11, Parameterized Packages for GNU Guix ,"Parameterized packages will provide users with a simple way to configure many aspects of packages, à la Gentoo USE flags. This project will add two...", Sarthak ," Mentor  g_bor, pjotrp ", Organization  GNU Project ,/archive/2023/projects/heQYLzrz,https://github.com/cel7t/parameterized-packages.org,Yes,Yes,"Parameterized packages will provide users with a simple way to configure many aspects of packages, à la Gentoo USE flags.
This project will add two new values to the Guix package record, ""parameters"" and ""parameter-transforms"" which will let package maintainers declare alternative versions of packages that will be built with or without specified features. 
For example, a user running Guix on a server may choose to build their packages without X11 and Wayland support, and they will now be able to do so easily with the help of these parameters.
This project will also implement the logic and user interface for parameters, and specify a number of parameter symbols to serve as examples.",[],[],"guix, scheme, guile",package management
12, The LiquidArt AI ,The LiquidArt AI is a mobile application developed in Flutter that allows users to generate images using a text or an audio to text prompt and a..., Murilo Nogueira Duarte ," Mentor  Andreuibanez, Karine Pistili Rodrigues, VictorSB ", Organization  Liquid Galaxy project ,/archive/2023/projects/cCYnzu24,https://github.com/MurilonND/LiquidArt_AI/tree/main,No,No,"The LiquidArt AI is a mobile application developed in Flutter that allows users to generate images using a text or an audio to text prompt and a selection of  APIs (NightCafe, a local server of Stable Diffusion, AI Art Maker, Dall-e), a multi-screen system for displaying geographic information. The application uses a Node js server to connect to the Liquid Galaxy system and a custom API  to display the images on the screens. The project also includes a new local machine for the LG project that has a GPU and the ability to create AI art based on stable diffusion.",['https://github.com/MuriloND/LiquidArt_AI/pull/29'],[],"flutter, rest api, Node JS",machine learning
13, Efficient Communication with Key/Value Storage Devices ,The project involves implementing io_uring based communication backend for network based key-value store. The current implementation in the KTLI..., Manank Patel ," Mentor  Aldrin M, Philip A. Kufeldt ", Organization  UC OSPO ,/archive/2023/projects/7WPESTT0,https://ucsc-ospo.github.io/report/osre23/ucsc/kvstore/20230825-manank/,No,Yes,"The project involves implementing io_uring based communication backend for network based key-value store. The current implementation in the KTLI (Kinetic transport layer interface) uses traditional sockets and POSIX APIs to communicate with the backend.
io_uring offers a new kernel interface that can improve performance through  zero copy network transmission capabilities and avoid the overhead of system calls.",[],[],"c, sockets, io_uring","performance, network, storage, I/O, key/value"
14, RocketMQ DLedger Controller Performance Optimization ,"Based on the performance bottleneck issues in the current mode of RocketMQ, implement a high-performance, highly maintainable new version of the...", TheR1sing3un ," Mentor  RongtongJin, nize ", Organization  Apache Software Foundation ,/archive/2023/projects/ShSzQCKe,https://github.com/TheR1sing3un/GSoC,Yes,No,"Based on the performance bottleneck issues in the current mode of RocketMQ, implement a high-performance, highly maintainable new version of the Controller module that provides low-latency master-slave switching capabilities, improves the upper limit of the number of brokers that a Controller node is responsible for, and uses the high-performance optimization of DLedger.
I plan to optimize its performance in four directions：refactor the usage of DLedger on the Controller side, refactor the request interaction logic, multithreaded optimization, comprehensive correctness testing and performance testing.
After this optimization is completed, the community will be provided with a high performance controller module and complete documentation and test reports","['https://github.com/apache/rocketmq/pull/6100', 'https://github.com/apache/rocketmq/pull/6348', 'https://github.com/apache/rocketmq/pull/6383', 'https://github.com/apache/rocketmq/pull/6778', 'https://github.com/apache/rocketmq/pull/7165']","['https://github.com/apache/rocketmq/issues/5989', 'https://github.com/apache/rocketmq/issues/6346', 'https://github.com/apache/rocketmq/issues/6382', 'https://github.com/apache/rocketmq/issues/6777', 'https://github.com/apache/rocketmq/issues/7164']","java, big data, Raft, chaos, Message Queue","big data, message queue"
15, Refactor Metrics Interface/Implementation in Mantis ,Improve the Mantis metrics system by replacing the existing implementation with a more standardized and flexible OSS library which should be easier..., Jue Wu , Mentor  hmittal83 , Organization  Mantis ,/archive/2023/projects/t0aEL7iA,https://docs.google.com/document/d/1cUqS8o9fyAnFsRrHskD3vdvW_l_h3xFJFn45WubdnlY/edit?usp=sharing,No,Yes,"Improve the Mantis metrics system by replacing the existing implementation with a more standardized and flexible OSS library which should be easier to support other time-series databases, reduce complexity, and improve scalability.",[],[],"java, Rxjava, Netty","distributed systems, Operational Analytics"
16, OpenCX: Extending OpenCV with NeRFs and LLMs ,"Investigative work on extending OpenCV. Researched state of the art and emerging 3D multimodal scene representations and use cases. For eg, queryable...", Likhit Talasila ," Mentor  Gary Bradski, Douglas B Lee ", Organization  OpenCV ,/archive/2023/projects/G68yXZNG,https://docs.google.com/document/d/1fsAhYY787osveiUqtqR9RQf6Ajr4XLhqSYv-EyydBGs/edit?usp=sharing,No,Yes,"Investigative work on extending OpenCV. Researched state of the art and emerging 3D multimodal scene representations and use cases. For eg, queryable NeRF methods, semantic embeddings etc. This led to spearheading and designing 2 new initiatives: NerfNet & CognitiveStudio. NerfNet is an open platform for gathering large scale data a la ImageNet for 3D scene representations. It goes end-to-end from images and metadata to 3D scene representations with support for various configs, NeRF models etc. CognitiveStudio is a NerfStudio fork focused on modularity and multimodal integrations
Also developed PoCs for LLM agents for converting natural language to NerfStudio API calls and for gathering metadata for NerfNet.",[],[],"python, opencv, flutter, dart, OpenAI, HuggingFace, FastAPI, Langchain, Nerfstudio","machine learning, computer vision, natural language processing, LLMs, neural radiance fields"
17, Add virtio-net Control Virtqueue state restore support ,"Virtio-net device uses Control Virtqueue(CVQ) for changing device parameters. For some devices, such as vDPA, its CVQ is passed from Guest’s driver...", Hawkins Jiawei , Mentor  Eperezma , Organization  QEMU ,/archive/2023/projects/zptoHp3v,https://github.com/JiaweiHawk/gsoc2023,No,Yes,"Virtio-net device uses Control Virtqueue(CVQ) for changing device parameters. For some devices, such as vDPA, its CVQ is passed from Guest’s driver directly to Host driver, which makes it difficult for QEMU to track the status of these devices.

To solve this problem, QEMU introduces Shadow Virtqueue(SVQ) for vdpa device, which shadows the CVQ via QEMU instead of being assigned directly to Guest. During QEMU Live migration, to restore the vdpa device in the destination VM to the state in the source VM, SVQ can use CVQ’s interface and send the state as regular CVQ commands.

Due to some CVQ commands for vDPA are missing at present, this project aims to achieve support for a subset of CVQ commands, including VIRTIO_NET_CTRL_RX family commands, VIRTIO_NET_CTRL_GUEST_OFFLOADS_SET command, VIRTIO_NET_CTRL_VLAN_ADD command, VIRTIO_NET_CTRL_MQ_HASH_CONFIG command and VIRTIO_NET_CTRL_MQ_RSS_CONFIG command for vDPA.",[],[],c,"vDPA, CVQ commands"
18, Scraper Redesign ,The Scraper class in SunPy retrieves solar data from web sources using efficient file organization. The current implementation uses regex for the..., Akshit Tyagi ," Mentor  Nabobalis, samaloney, Laura Hayes ", Organization  OpenAstronomy ,/archive/2023/projects/2Gxxa7qS,https://gist.github.com/exitflynn/3a8db95de7208456464db8c8b71b9b1d,No,Yes,The Scraper class in SunPy retrieves solar data from web sources using efficient file organization. The current implementation uses regex for the core functionality which limits the use-cases and has made the class difficult to maintain. The project aims to re-implement the Scraper to use parse instead and make it easier to work with. The goal also involves implementing newer functionality while keeping the same API for the rewritten parts.,"['https://github.com/sunpy/sunpy/pull/7077', 'https://github.com/exitflynn/sunpy/pull/1', 'https://github.com/exitflynn/sunpy/pull/2']","['https://github.com/sunpy/sunpy/issues/7174', 'https://github.com/sunpy/sunpy/issues/7073', 'https://github.com/sunpy/sunpy/issues/7174']","python, Regex","scraping, Parsing, Refactoring, System Design, requests, Regex"
19, Estimating the energy cost of scientific software ,The Large Hadron Collider (LHC) experiments generate massive datasets composed of billions of proton-proton collisions. The analysis of this data..., Manas Pratim Biswas ," Mentor  Benedikt Hegner, Caterina Doglioni ", Organization  CERN-HSF ,/archive/2023/projects/Nks9akq7,https://github.com/sanam2405/SoftwareEnergyCost,No,Yes,"The Large Hadron Collider (LHC) experiments generate massive datasets composed of billions of proton-proton collisions. The analysis of this data requires high-throughput scientific computing that relies on efficient software algorithms. In this project, I aim to investigate whether small efficiency improvements in the LHC software can have a large energetic impact, given the sheer volume of data involved. Additionally, I aim to explore the impact of different computing architectures and job submission systems on energy efficiency. To achieve these goals, I will use metrics from the Green Software Foundation and other resources to estimate energy efficiency. I will then evaluate whether to make small changes to the code to improve efficiency and evaluate the potential savings. I will also test the software on different platforms and job submission systems. My expected results include a summary of metrics for software energy consumption, visualisation of test results, and identification of possible improvements to software algorithms. The project will provide valuable insights into the energy efficiency of scientific software, with potential applications beyond the LHC experiments.","['https://github.com/baler-collaboration/baler/pull/331', 'https://github.com/baler-collaboration/baler/pull/330', 'https://github.com/baler-collaboration/baler/pull/286', 'https://github.com/baler-collaboration/baler/pull/280']",[],"python, machine learning, c++, git, deep learning, jupyter notebook, Software Profiling, Software Testing","High Throughput Computing, Scientific Software Profiling, Software Metrics, Estimating Energy Efficiency, Green Software Foundation"
20, AFL-style UI: Add AFL-style UI to the TUI monitor ,"LibAFL, a library written by Rust, helps people develop a fuzzer tailored to specific needs, but due to the lack of the running status information of...", hengzh ," Mentor  Marc Heuse, domenukk ", Organization  AFLplusplus ,/archive/2023/projects/opfPA5Ly,https://gist.github.com/ToSeven/141706d8eb1ef8da588146edb45118a9,No,Yes,"LibAFL, a library written by Rust, helps people develop a fuzzer tailored to specific needs, but due to the lack of the running status information of LibAFL, we are difficult to grasp some key metrics in a fuzzing campaign. so I propose adding AFL-style UI to the TUI monitor. LibAFL will have an AFL-style UI encompassing some key status metrics such as the status bar, process timing, and so on.","['https://github.com/AFLplusplus/LibAFL/pull/1432', 'https://github.com/AFLplusplus/LibAFL/pull/1432', 'https://github.com/AFLplusplus/LibAFL/pull/1248']",[],rust,fuzzing
21, Pycxxwrap ,"Pycxxwrap is a versatile Python decorator used to wrap C++ code into Python using Pybind11. It serves as a wrapper around Pybind11, a lightweight,...", Matrixbot ," Mentor  Hartmut Kaiser, Stevenrbrandt ", Organization  Ste||ar group ,/archive/2023/projects/2gxWyLH7,https://matrixbot123.github.io/gsoc23/,Yes,Yes,"Pycxxwrap is a versatile Python decorator used to wrap C++ code into Python using Pybind11. It serves as a wrapper around Pybind11, a lightweight, header-only library that facilitates the exchange of C++ types between Python and C++. The primary goal of this project is to provide a Pythonic interface for C++ libraries, simplifying their usage and enabling the creation of Python libraries from existing C++ ones. Additionally, Pycxxwrap includes special support for the HPX library, a C++ Standard Library for Concurrency and Parallelism, using custom header files.",[],[],"python, c++, Pybind11","HPX Integration with Python, Python-C++ Integration"
22, Improvements in the DrTest tool ,"This project proposal focuses on improving two DrTest plugins: Coverage and Executable Comment. In particular, to enhance how these plugins show the...", Carolina Melendez ," Mentor  Juan Pablo, Alison Fernandez Blanco, Geraldine Galindo, Gabriel Darbord ", Organization  Pharo Consortium ,/archive/2023/projects/Wk43GERq,https://medium.com/@carolina.melendez376/improvements-in-the-drtest-tool-gsoc-2023-final-report-3da5ca1024f0,No,No,"This project proposal focuses on improving two DrTest plugins: Coverage and Executable Comment. In particular, to enhance how these plugins show the results to facilitate developer analysis by: (a) adding a statement coverage visualization view; (b) showing detailed coverage statistics; and (c) adding more grouping options in the result panel. Complementary, we propose to add a new plugin that allows developers to perform mutation testing analysis.",[],[],smalltalk,Testing tool
23, Development of a Cytoscape App for microbe-microbe association networks ,Microbial associations play a fundamental part in deciphering underlying mechanisms of microbial communities. A series of algorithms have been..., Ermis Delopoulos ," Mentor  Scooter, Haris Zafeiropoulos, Yihang Xin ", Organization  National Resource for Network Biology (NRNB) ,/archive/2023/projects/7IKSInMx,https://ermismd.github.io/MGG/,No,Yes,"Microbial associations play a fundamental part in deciphering underlying mechanisms of microbial communities. A series of algorithms have been developed to retrieve such associations from taxa abundance data, however the outcome is usually tool-dependent and a large number of the retrieved associations may be spurious. microbetag is a co-occurrence network annotator aiming at increasing/decreasing the confidence level of the associations of such a network. However, being a command line tool, microbetag’s output is hard to interpret; its true potential can be revealed only by visualizing its findings so researchers can combine the retrieved annotations with their expertise to make further conclusions. Cytoscape Apps support additional features, e.g. new layouts, connection with databases etc, on Cytoscape, a well-established open source software platform for visualizing such interaction networks.
Goal of this project is to develop a Cytoscape App providing a graphical interface for the microbetag tool.",[],[],java,"java, gui, Cytoscape App"
