ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,
30, Whole-Program Inference ,Checker Framework provides a collection of type systems to prevent bugs on Java programs at development time. Although a type system might be useful..., Felipe R. Monteiro , Mentor  Michael Ernst , Organization  Checker Framework ,/archive/2017/projects/6689181245898752,https://docs.google.com/spreadsheets/d/17VKHUBd1z9CkwCzPukYXAJHmlmDm6FQ_IYCzfTFW3-4/edit?usp=sharing,No,Yes,"Checker Framework provides a collection of type systems to prevent bugs on Java programs at development time. Although a type system might be useful to prevent certain types of errors, it requires the effort to write all the types, which might be an annoying task for developers. In order to tackle such problem, developers might use a type inference tool to write the types for a program. Particularly, to determine what type should be written for a procedure’s formal parameter, a type inference tool must examine the type of the argument at every call to that procedure. Thus, the type inference process requires a whole-program analysis. In conclusion, the main goal of this project is to create a single type inference tool that will work for any type system available in Checker Framework (e.g., Nullness and Interning Checker).",,[],[]
31, My meteorological station ,"My meteorological station is a project that consists of building a homemade meteorological station using physical web beacon and raspberry pi.
The...", Gerard Farré Gomez ," Mentor  Andres Ibanez, Julio Bondia, Ismael Arroyo ", Organization  Physical Web Project ,/archive/2017/projects/6696000311787520,https://github.com/gerard87/my-meteorological-station/blob/master/docs/GSOC17.md,No,No,"My meteorological station is a project that consists of building a homemade meteorological station using physical web beacon and raspberry pi.
The raspberry pi will have connected many weather sensors to get data. Likewise, will receive weather data from various external API in order to complete all weather information.
The beacon broadcast the URL with information about the meteorological station provided by raspberry pi.
The beacon will have a fixed URL that will point to another, using the technique URL redirection.
As we have access to Google Liquid Galaxy technology in our LAB, also I will develop a visualization layer of this meteo information on the LG.
In other way to access the system, the user will communicate with the system by voice using a google assistant, allowing to have a conversational ui in natural language. The assistant agent will serve a request, receiving data from the raspberry pi using a webhook. This webhook will receive the data from the raspberry and return to the user the proper information.
The actual tests will be carried out in buildings of the PCITAL (Parc Cientific i Tecnologic Agroalimentari de Lleida), like Cedico, H2, and Magical Media.",,[],[]
32, Adapt CGILua SAPI launcher to explore all WSAPI features. ,Project proposed by LabLua, João Dutra Bastos , Mentor  Tomás Guisasola , Organization  LabLua ,/archive/2017/projects/6696418936881152,https://github.com/keplerproject/cgilua/pull/14,No,No,Project proposed by LabLua,https://github.com/keplerproject/cgilua/pull/14,"['/login?return_to=https%3A%2F%2Fgithub.com%2Flunarmodules%2Fcgilua%2Fpull%2F14', '/login?return_to=https%3A%2F%2Fgithub.com%2Flunarmodules%2Fcgilua%2Fpull%2F14', 'https://github.com/lunarmodules/cgilua/pull/14#event-1947078065', '/login?return_to=https%3A%2F%2Fgithub.com%2Flunarmodules%2Fcgilua%2Fpull%2F14', 'https://github.com/keplerproject/cgilua/pull/14']",[]
33, Adding Python 3 compatibility and improving mypy support for cwltool ,"The goal of this proposal is to enhance support and usability of cwltool by:

Adding Python 3 compatibility to CWL Tool, Schema Salad and CWL Test...", Manvendra Singh ," Mentor  Anton Khodak, Michael Crusoe, Janneke van der Zwaan ", Organization  Open Bioinformatics Foundation ,/archive/2017/projects/6701160580775936,https://gist.github.com/manu-chroma/8e10ea9fd728356a4363b5af1f0d8aaa,Yes,Yes,"The goal of this proposal is to enhance support and usability of cwltool by:

Adding Python 3 compatibility to CWL Tool, Schema Salad and CWL Test projects.
Improving mypy annotations and upgrading mypy dependency for CWL Tool and Schema Salad.
Reducing issue backlog and misc enhancements",,"['https://github.com/common-workflow-language/cwltool/pull/523', 'https://github.com/common-workflow-language/cwltool/pull/519', 'https://github.com/common-workflow-language/cwltool/pull/512', 'https://github.com/common-workflow-language/cwltool/pull/509', 'https://github.com/common-workflow-language/cwltool/pull/505', 'https://github.com/common-workflow-language/cwltool/pull/497', 'https://github.com/common-workflow-language/cwltool/pull/496', 'https://github.com/common-workflow-language/cwltool/pull/494', 'https://github.com/common-workflow-language/cwltool/pull/491', 'https://github.com/common-workflow-language/cwltool/pull/477', 'https://github.com/common-workflow-language/cwltool/pull/476', 'https://github.com/common-workflow-language/cwltool/pull/470', 'https://github.com/common-workflow-language/cwltool/pull/464', 'https://github.com/common-workflow-language/cwltool/pull/461', 'https://github.com/common-workflow-language/cwltool/pull/460', 'https://github.com/common-workflow-language/cwltool/pull/450', 'https://github.com/common-workflow-language/cwltool/pull/442', 'https://github.com/common-workflow-language/cwltool/pull/423', 'https://github.com/common-workflow-language/cwltool/pull/407', 'https://github.com/common-workflow-language/cwltool/pull/406', 'https://github.com/common-workflow-language/cwltool/pull/393', 'https://github.com/common-workflow-language/cwltool/pull/383', 'https://github.com/common-workflow-language/cwltool/pull/337', 'https://github.com/common-workflow-language/schema_salad/pull/128', 'https://github.com/common-workflow-language/schema_salad/pull/125', 'https://github.com/common-workflow-language/schema_salad/pull/123', 'https://github.com/common-workflow-language/schema_salad/pull/122', 'https://github.com/common-workflow-language/schema_salad/pull/121', 'https://github.com/common-workflow-language/schema_salad/pull/118', 'https://github.com/common-workflow-language/schema_salad/pull/116', 'https://github.com/common-workflow-language/schema_salad/pull/114', 'https://github.com/common-workflow-language/schema_salad/pull/109', 'https://github.com/common-workflow-language/cwltest/pull/20', 'https://github.com/common-workflow-language/cwltest/pull/33', 'https://github.com/common-workflow-language/schema_salad/pull/109', 'https://github.com/common-workflow-language/cwltool/pull/442', 'https://github.com/common-workflow-language/cwltool/pull/508', 'https://github.com/common-workflow-language/cwltool/pull/526', 'https://github.com/common-workflow-language/cwltool/pull/520']","['https://github.com/common-workflow-language/cwltool/issues/524', 'https://github.com/common-workflow-language/cwltool/issues/524', 'https://github.com/common-workflow-language/cwltool/issues/334']"
34, OMEMO encrypted Jingle implementation ,This is my proposal to implement Jingle file transfer in Smack utilizing my OMEMO implementation I made earlier this year as part of my bachelors..., vanitasvitae , Mentor  Florian Schmaus , Organization  XMPP Standards Foundation ,/archive/2017/projects/6702837899722752,https://vanitasvitae.github.io/GSOC2017/,No,Yes,This is my proposal to implement Jingle file transfer in Smack utilizing my OMEMO implementation I made earlier this year as part of my bachelors thesis. Jingle is used in order to negotiate on a transportation method for sending or receiving data.,,"['https://github.com/xsf/xeps/pull/471', 'https://github.com/xsf/xeps/pull/475', 'https://github.com/xsf/xeps/pull/478', 'https://github.com/xsf/xeps/pull/489', 'https://github.com/xsf/xeps/pull/491', 'https://github.com/xsf/xeps/pull/497']",[]
35, Development of a Statistical Framework to Identify Similar Nodes in InterMine ,"InterMine is a large graph containing entities(Genes, Transcription Factors etc. ) with important relationships between them. The main aim of the...", Samyadeep Basu , Mentor  Joshua Heimbach , Organization  Open Genome Informatics ,/archive/2017/projects/6703800509267968,https://samyadeepblog.wordpress.com/summary/,No,Yes,"InterMine is a large graph containing entities(Genes, Transcription Factors etc. ) with important relationships between them. The main aim of the project is to leverage the huge amount of data lying in InterMine and create an ensemble of algorithms specific to Biological Networks using Graph Theory and Unsupervised Machine Learning Algorithms to identify similar entities in InterMine. The results obtained by the framework will be used to build an efficient Recommendation System for the user based on their selection criteria.",,[],[]
36, Raspbian backend for OpenWISP 2 ,The project will require to implement a backend for OpenWISP 2. The backend must generate Raspbian compatible configuration files (i.e...., Ritwick DSouza ," Mentor  Marco Cappellacci, DarioMas, Federico Capoano ", Organization  OpenWISP ,/archive/2017/projects/6704162360262656,https://medium.com/@ritwickdsouza/gsoc-openwisp-raspbian-backend-for-openwisp-2-61ff91843362,No,No,"The project will require to implement a backend for OpenWISP 2. The backend must generate Raspbian compatible configuration files (i.e. etc/resolv.conf, etc/network/interfaces, etc/hostapd/hostapd.conf, etc ) from NetJSON Device Configuration. The backend must also be capable of generating NetJSON Device Configuration from the Raspbian configuration files. The backend must atleast conver General, NTP Settings, Wireless Settings, Wireless Settings, DNS Server, DNS Search Domains, Static Routes, Files, etc. The test coverage of the library must be above 95%. The backend will be documented inside python-sphinx docs directory contained in the netjsonconfig repository.",,[],[]
37, OpenModelica Integration ,"Modelica is an object-oriented and declarative language specification for description/modeling of dynamic systems (mechanical, electrical, thermal,...", Leonardo José Consoni ," Mentor  paro, davidcl ", Organization  Scilab ,/archive/2017/projects/6706348901269504,http://bitiquinho.github.io/2017-08-24-almost_there/,No,Yes,"Modelica is an object-oriented and declarative language specification for description/modeling of dynamic systems (mechanical, electrical, thermal, mixed, etc.). Scilab uses it inside Xcos to describe more complex blocks/components, taking advantage of existing compiler/translator implementations to generate correspondent C code for actual simulation.
For now, Modelica in Scilab is managed by an out-of tree compiler developed by LMS released under the GPL license, which is not actively maintained and support only a subset of the current language specification. The idea of this project is to allow the usage of OpenModelica’s OMCompiler (omc) as an alternative. Being a more up-to-date solution, omc integration would provide Scilab/Xcos the ability to use more advanced features, and avoid bugs, issues and maintenance burden of the current modelicac compiler.
Adapting Xcos blocks to support the FMI2 API standard would allow not only omc-generated code to be called but also any other FMI2-compliant applications to be easily integrate in the future.",,[],[]
38, Systers Features for Mailman 3 ,"The project consists in porting Systers customized features to Mailman3. The main goal of the project has been to port :

Essay Feature
Stats for...", Aditi Gupta ," Mentor  Vatsala Swaroop, Khushali Desai, Rosario Robinson, Stephen J Turnbull "," Organization  Systers, an Anita Borg Institute community ",/archive/2017/projects/6706691290693632,https://drive.google.com/drive/folders/0Bz3Qq-vklUUZNFAzZ0ZwTlh5MFk,No,No,"The project consists in porting Systers customized features to Mailman3. The main goal of the project has been to port :

Essay Feature
Stats for Admins
Number of subscribers/unsubscribers.
Number of total unique subject lines.
Number of subscribers that posted.



New features to be implemented in Systers Mailman3 :

Promoting good Posts
Keyword Summary
Top 10 threads of all-time
Crowd-sourced Thread metadata
List Monthly health
Mentioned in Thread References
List Summary Page",,[],[]
39, SAVT (Smart Agro Visualization Tool) ,"SAVT will be a software engine to visualize data of crop fields to Liquid Galaxy, allowing you to track his state.
This image data, collected by...", Javier Calvo García ," Mentor  Paco Martin Fernandez, Andreuibanez ", Organization  Liquid Galaxy Project ,/archive/2017/projects/6707810934980608,https://github.com/calv00/SAVT-Dashboard/blob/master/docs/GSOC17.md,No,No,"SAVT will be a software engine to visualize data of crop fields to Liquid Galaxy, allowing you to track his state.
This image data, collected by drones, planes or satellites, can be among others : vegetation map, vigor map, nitrogen map, irrigation sectors, dose of fertilizer and variability map.
We plan to have access also to data collected by drone, and by different IoT (Internet of Things) platforms, with sensor arrays on the crop field. We'll also use the platform to visualize this data overlaid on the maps and with explanations in almost real time, such as temperature, hygrometry, wind, and others upon availability.
The management interface will have the ability to show the analyzed data from a specific client, land or area.
Likewise, it will also be possible to collect data from various sources and import images with their coordinates to show them to Liquid Galaxy where each crop field will show a pop-up balloon with all the information about it.
Another functionality is the system integration with google assistant using actions SDK to make voice requests and having a conversational UI experience.",,['https://github.com/github/site-policy/pull/582'],[]
40, Multi-modal cluttered scene analysis in knowledge intensive scenarios ,The objective of the project is to improve accuracy of objects' descriptions generated by the RoboSherlock package in difficult environments. Glossy..., Mykola Dolhyi ," Mentor  Jan-Hendrik, Ferenc Balint-Benczedi ", Organization  Institute for Artificial Intelligence ,/archive/2017/projects/6708443637350400,https://gist.github.com/klokik/902f7065ab0f8599fea7156542160cac,No,Yes,"The objective of the project is to improve accuracy of objects' descriptions generated by the RoboSherlock package in difficult environments. Glossy transparent objects can not be properly detected by off-the-shelf RGB-D cameras which use infrared structured light, like Kinect. Or as another example occluded object may be not properly classified or even segmented as one peace. So the goal of this project is to study and implement algorithms which will address such problems.",,"['https://github.com/RoboSherlock/robosherlock/pull/96', 'https://github.com/RoboSherlock/robosherlock/pull/99']",[]
41, Implement a Plugin System in Pitivi and a set of plugins ,"The goal of this proposal is to implement a Plugin System in Pitivi and a set of at least three plugins: the “Developer Console”, the “Timeline...", Fabian Orccon , Mentor  aleb , Organization  GNOME ,/archive/2017/projects/6708954470023168,https://cfoch.github.io/tech/2017/08/28/wrap-up-and-code-submission.html,No,No,"The goal of this proposal is to implement a Plugin System in Pitivi and a set of at least three plugins: the “Developer Console”, the “Timeline Markers” and “Automatic Transitions”. The first one is a tool for Pitivi developers and Pitivi’s plugins developers that will allow them to do quick experiments at runtime by having access to all the internal objects of Pitivi saving time to them. The second plugin gives the user a sense of time, by drawing vertical lines each ten seconds (or other period of time). For example, it will be useful when the user zooms in and wants to move along the timeline, because Pitivi will display guidelines. Finally, the third one is a plugin that avoid the tedious process of dragging video (or image) clips over other video (or image) clips in order to create a transition when there are a very large set of this clips. This plugin will save time to users who just want to import a set of images (of last vacation trip for example) to create a video as fast as possible.",,[],[]
42, Algorithm improvements to KD-Tree module: applications to ICP ,Nanoflann is a C++ library provided by MRPT for building KD-Trees. The library is a fork of the widely-used FLANN C++ library and is mostly optimized..., Pranjal Kumar Rai ," Mentor  Jose-Luis Blanco, Feroze Naina ", Organization  Mobile Robot Programming Toolkit (MRPT) ,/archive/2017/projects/6710140954738688,https://gist.github.com/pranjal-rai/307e178d023b9a4b5455ca9ca8383344,No,Yes,Nanoflann is a C++ library provided by MRPT for building KD-Trees. The library is a fork of the widely-used FLANN C++ library and is mostly optimized for lower dimensional point clouds. Most ICP algorithms for robot SLAM and localization require finding nearest neighbor in 2D/3D point clouds. Support for dynamic point clouds and nearest neighbour query in non flat spaces are two paramount features which are missing in the current nanoflann library.,,"['https://github.com/jlblancoc/nanoflann/pull/48', 'https://github.com/jlblancoc/nanoflann/pull/38', 'https://github.com/jlblancoc/nanoflann/pull/23', 'https://github.com/jlblancoc/nanoflann/pull/22']",['https://github.com/MRPT/GSoC2017-discussions/issues/1']
43, Orbit Position Data Analysis and Interpolation ,This project is directed towards obtaining the Keplerian orbit parameters from the jittery position vector obtained by de-noising and interpolating..., Nilesh Chaturvedi ," Mentor  Kai Wilke, hornig, Uli Beyermann, aerospacereearch.net, Timm ", Organization  AerospaceResearch.net ,/archive/2017/projects/6712304007643136,https://aerospaceresearch.net/?p=299,No,No,"This project is directed towards obtaining the Keplerian orbit parameters from the jittery position vector obtained by de-noising and interpolating the data. 
Proposal contains a mention of all the work that I have done until now along with a link to a demonstration video of the project.
All necessary details have been mentioned and the stated guidelines on the organization website are strictly followed.",,[],[]
44, Improvement of Vertex Painting ,"Currently the vertex painting lacks the features like vertex masking, don’t have many blend options, color choice is only limited to rgb and not to...", Darshan Kadu , Mentor  Howard Trickey , Organization  Blender Foundation ,/archive/2017/projects/6715177072328704,https://wiki.blender.org/index.php/User:Darshan/GSoC2017,No,No,"Currently the vertex painting lacks the features like vertex masking, don’t have many blend options, color choice is only limited to rgb and not to rgba. With this project I propose to improve vertex painting toolkit, adding lacking tools and functionality so that artists will be able to use  vertex painting tools as easily as texture painting tools",,[],[]
45, Common Print Dialog for desktop applications and mobile devices ,"To make printing easy for the users of desktop systems and mobile devices, a well designed print dialog should be there where a user can easily find...", Abhijeet Dubey ," Mentor  Till Kamppeter, Felipe Borges ", Organization  The Linux Foundation ,/archive/2017/projects/6715861582741504,https://github.com/dracarys09/gcp-backend/wiki/1.-Google-Summer-of-Code-2017-%7C-Common-Printing-Dialog,No,No,"To make printing easy for the users of desktop systems and mobile devices, a well designed print dialog should be there where a user can easily find right printers and right options to get the desired print. This project aims at implementing a common print dialog that will enable users to print documents easily. This project has a UI component which will be implemented in a major toolkit (GTK, Qt) and the backend component of this project is divided into three parts namely CUPS backend, IPP Backend and Google Cloud Print Backend. This project aims at implementing these modules. More specifically, implementation of Google Cloud Print backend will include designing and implementing a module along with proper documentation and tests.",,['https://github.com/github/site-policy/pull/582'],[]
46, LibreMesh Attended Sysupgrade ,Performing updates on routers is quite different from full Linux distribution. It's not sustainable to do release upgrade via a packet manager...., Paul Spooren , Mentor  Gui Iribarren , Organization  Freifunk ,/archive/2017/projects/6718970065321984,https://blog.freifunk.net/2017/08/25/attended-sysupgrade-final-evaluation-update/,Yes,Yes,"Performing updates on routers is quite different from full Linux distribution. It's not sustainable to do release upgrade via a packet manager. Instead it's usually required to re-flash the system image. 
Depending on the installed packages an image rebuild may be to complex for regular users. A more convenient way is needed.
This project will implement an ""image as a service"" server side which provides custom build images depending on installed packages. A notification in the web interface will notify about the new release.
After image creation a one-click installation is offered within the web interface.
The server side implementation will use established tools like LEDE's ImageBuilder to provide an generic approach for image creating. In this way the entire OpenWrt/LEDE community including several community-mesh firmware projects will benefit from that new update routine.",,"['https://github.com/libremesh/lime-packages/pull/209', 'https://github.com/libremesh/lime-packages/pull/215']",[]
47, Performance Hero ,"Improve the performance and scalability of TEAMMATES.

Migrate Storage component to Objectify API
Rewrite entire Storage layer to use Objectify...", John Yong ," Mentor  samsontmr, Damith Rajapakse, Kang Hong Jin ", Organization  TEAMMATES @ National University of Singapore ,/archive/2017/projects/6719712557793280,https://github.com/TEAMMATES/teammates/pulls?q=is%3Amerged+author%3Awhipermr5+created%3A%3E%3D2017-05-01,No,No,"Improve the performance and scalability of TEAMMATES.

Migrate Storage component to Objectify API
Rewrite entire Storage layer to use Objectify instead of JDO
Deploy change and divert small amount of live traffic to new version for testing
Turn on Objectify global cache (uses memcached); do similar isolated testing
Fix issues surfaced during live testing (if any), then fully deploy new version


Write performance profiling tests for Storage and Logic components
All methods in Storage and Logic API to be profiled for cost and performance
Use remote API client for client-driven testing
Use task queues for app-driven testing
Results to be used as a benchmark when making changes to the architecture


Redesign schema
Determine entity groups based on GAE transaction limits and our usage
Use conceptual relationships as much as possible while keeping within limits
Plan for extensibility: should be able to support new features like LTI compliance without too much effort",https://github.com/TEAMMATES/teammates/pulls?q=is%3Amerged+author%3Awhipermr5+created%3A%3E%3D2017-05-01,"['/login?return_to=https%3A%2F%2Fgithub.com%2FTEAMMATES%2Fteammates%2Fpulls%3Fq%3Dis%253Amerged%2Bauthor%253Awhipermr5%2Bcreated%253A%253E%253D2017-05-01', '/login?return_to=https%3A%2F%2Fgithub.com%2FTEAMMATES%2Fteammates%2Fpulls%3Fq%3Dis%253Amerged%2Bauthor%253Awhipermr5%2Bcreated%253A%253E%253D2017-05-01', 'https://github.com/TEAMMATES/teammates/pulls?q=is%3Amerged+author%3Awhipermr5+created%3A%3E%3D2017-05-01']",[]
48, Implement algorithms for the generation of high-resolution isotope patterns ,In mass spectrometry the isotope pattern of an unknown molecule consists a powerful analytical tool to identify its molecular formula. Modern..., Nikos Patikas ," Mentor  oliveralka, Artem Tarasov, timosachsenberg, Julianus Pfeuffer ", Organization  Open Bioinformatics Foundation ,/archive/2017/projects/6722516903002112,https://pati-ni.github.io/2017/08/26/final-submission-post.html,No,Yes,"In mass spectrometry the isotope pattern of an unknown molecule consists a powerful analytical tool to identify its molecular formula. Modern technological advancements led to a resolution increase in mass spectrometers. This enables mass spectrometers to distinguish parts of a molecule's isotopic fine structure.
To determine whether a presumed molecular formula is observed within a mass spectrum the theoretical isotope pattern of the formula needs to be calculated.
OpenMS implements only one theoretical isotope pattern generator that calculates a low resolution version of the isotopic structure. The additional information that a mass spectrometer provides may be absent in a low resolution theoretical isotope pattern and potentially restricts scientists of excluding possible identities of a certain molecule.
This proposal aims to enrich the OpenMS isotope distribution class with the implementation of three new algorithms for calculating high-resolution isotope patterns.
Ιt proposes an algorithm that belongs in the class of polynomial multiplication methods and two algorithms that consist variations of the Fourier transform methods.",,"['https://github.com/OpenMS/OpenMS/pull/2864', 'https://github.com/OpenMS/OpenMS/pull/2798', 'https://github.com/OpenMS/OpenMS/pull/2523']",[]
49," Ejabberd support for ""let's encrypt"" ACME protocol ",The Automatic Certificate Management Environment (ACME) protocol is a communications protocol for automating interactions between certificate..., Konstantinos Kallas , Mentor  Evgeny Khramtsov , Organization  Beam Community ,/archive/2017/projects/6727670863757312,https://github.com/processone/ejabberd/pull/1959,Yes,No,"The Automatic Certificate Management Environment (ACME) protocol is a communications protocol for automating interactions between certificate authorities and their users' web servers, allowing the automated deployment of public key infrastructure at very low cost. Supporting this protocol will reduce the complexity of acquiring certificates for TLS encryption, via the ""Let's encrypt"" certificate authority.
The final goal of this project is for ejabberd to fully support the ACME protocol and thus provide an easy and cheap way of acquiring security certificates.",https://github.com/processone/ejabberd/pull/1959,"['/login?return_to=https%3A%2F%2Fgithub.com%2Fprocessone%2Fejabberd%2Fpull%2F1959', '/login?return_to=https%3A%2F%2Fgithub.com%2Fprocessone%2Fejabberd%2Fpull%2F1959', '/login?return_to=https%3A%2F%2Fgithub.com%2Fprocessone%2Fejabberd%2Fpull%2F1959', 'https://github.com/processone/ejabberd/pull/1959']",[]
50, Powquty Live-Log ,"PowQuty provides statistics from measurements taken by a USB oscilloscope. The statistics provide information about the power distribution network,...", Stefan Venz , Mentor  Thomas Hühn , Organization  Freifunk ,/archive/2017/projects/6727994328481792,https://blog.freifunk.net/2017/08/28/powquty-live-log-gsoc-2017-final-update/,No,No,"PowQuty provides statistics from measurements taken by a USB oscilloscope. The statistics provide information about the power distribution network, but don't highlight the most important information. Power networks need to comply with EN50160, if this norm is violated, damage to connected devices is possible.
To avoid damage, powqutyd will log violations and notify users on occurrence.",,['https://github.com/thuehn/PowQuty/pull/20'],[]
1, RDKIt - 3Dmol.js integration ,"Although RDKit is a widely used extremely versatile chemoinformatics software package, it still lacks efficient 3D molecule visualization capability....", Malitha Humayun Kabir ," Mentor  Paul Czodrowski, Greg Landrum ", Organization  Open Chemistry ,/archive/2017/projects/6332750499938304,https://github.com/malithakabir/RDKitGSoC2017,No,No,"Although RDKit is a widely used extremely versatile chemoinformatics software package, it still lacks efficient 3D molecule visualization capability. In this circumstance, 3Dmol.js is easy to use and an excellent molecule visualization library that works in web browser. Another important platform is jupyter that allows communication with python from web browser through notebook like interface. Jupyter has also made the codes easily readable with clean output by dint of markdown. So, keeping python as operational core engine that expectedly works as interface of RDKit while utilizing support from jupyter notebook and 3Dmol.js should be a very good combination to ensure high productivity in drug discovery settings. In this project, I would like to turn these combination to more viable solution by binding 3D molecule visualization (protein-ligand complex), ligand editing panel, conformer scrolling system, and channel for sending ligand from jupyter interface to force field that exists in RDKit for energy minimization. Needless to say, I would like to use openbabel for file format conversion and molecular data extraction system.",,"['#through-github-pull-request-to-merge-at-rdkitgsoc2017', '#github-pull-request-link', 'https://github.com/rdkit/rdkit/pull/1484']",[]
2, Adding new functionalities to the Android app ,"The android version of Amahi works well. For Summer of Code’ 17, I will mainly be focusing on adding the following functionalities to the app:
...", Kumar Shashwat ," Mentor  Carlos Puchol, Bogdan Mitrea ", Organization  Amahi ,/archive/2017/projects/6336674220998656,https://drive.google.com/open?id=0B3goqm-HUlJvSTRNQ1J1QWw5clE,No,Yes,"The android version of Amahi works well. For Summer of Code’ 17, I will mainly be focusing on adding the following functionalities to the app:

Updating Designs & provide backwards compatibility.
Adding Chromecast Support.
Developing a new module for Android TV.
Adding support for secondary user.
Adding upload functionality (Manual as well as Auto Upload).
An Auto Back up setup which directly backs up your phone data to your HDA.
Improving the caching mechanism for the Thumbnail Previews.",,[],[]
3," Group Theory: Subgroups, Homomorphisms and Presentations ","SymPy currently has limited support for subgroups of finitely presented groups. For finite FpGroups, this can be greatly extended by defining an...", Valeriia Gladkova ," Mentor  Kalevi Suominen, Sudhanshu Mishra, Kshitij Saraogi ", Organization  SymPy ,/archive/2017/projects/6337426108710912,https://github.com/sympy/sympy/wiki/GSoC-2017-Report-Valeriia-Gladkova:-Group-Theory,No,Yes,"SymPy currently has limited support for subgroups of finitely presented groups. For finite FpGroups, this can be greatly extended by defining an isomorphism to a Permutation Group since the latter has much more functionality already implemented. This calls for the general implementation of group homomorphisms which in turn requires implementation of rewriting systems for groups. Another issue is infinite FpGroups for which better treatment can be provided, in particular, there are certain techniques that allow to determine if a group is infinite before passing it to a function that wouldn't be able to terminate successfully while processing an infinite group.",,"['https://github.com/sympy/sympy/pull/12658', 'https://github.com/sympy/sympy/pull/12681', 'https://github.com/sympy/sympy/pull/12705', 'https://github.com/sympy/sympy/pull/12761', 'https://github.com/sympy/sympy/pull/12827', 'https://github.com/sympy/sympy/pull/12893', 'https://github.com/sympy/sympy/pull/12973', 'https://github.com/sympy/sympy/pull/13028', 'https://github.com/sympy/sympy/pull/12986', 'https://github.com/sympy/sympy/pull/13698', 'https://github.com/sympy/sympy/pull/13070', 'https://github.com/sympy/sympy/pull/13077', 'https://github.com/sympy/sympy/pull/13104', 'https://github.com/sympy/sympy/pull/13150', 'https://github.com/sympy/sympy/pull/13119', 'https://github.com/sympy/sympy/pull/13138', 'https://github.com/sympy/sympy/pull/13151/', 'https://github.com/sympy/sympy/pull/13150', 'https://github.com/sympy/sympy/pull/12732', 'https://github.com/sympy/sympy/pull/12719', 'https://github.com/sympy/sympy/pull/12947']",[]
4, Updating Phimp.me Image Application ,"Updating Phimp.me, Image application and getting it ready for publishing in stores by implementing features like Image Tuning, Adding Filters of...", Vinay Sajjanapu ," Mentor  Hon Nguyen, Hong Phuc Dang, Harshit D (the-dagger), Mario Behling, Eden Dang, Sudheesh Singanamalla ", Organization  FOSSASIA ,/archive/2017/projects/6337933451722752,https://gist.github.com/vinaysajjanapu/e3b8367921a50846bc6012c4d9c39c12,No,Yes,"Updating Phimp.me, Image application and getting it ready for publishing in stores by implementing features like Image Tuning, Adding Filters of multiple types, Improving user interface and flow of the application and enabling share to social networking sites, WordPress sites etc.",,['https://github.com/fossasia/phimpme-android/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Avinaysajjanapu%20'],"['https://github.com/fossasia/phimpme-android/issues/assigned/vinaysajjanapu', 'https://github.com/fossasia/phimpme-android/issues?q=is%3Aissue+author%3Avinaysajjanapu+is%3Aclosed']"
5, Foreign Keys for Array Elements ,My proposal is to target the performance issue regarding the foreign keys for the array index. Any UPDATE or DELETE statement on a Primary Key table..., Mark Rofail ," Mentor  Alexander Korotkov, Stephen Frost, alvherre ", Organization  PostgreSQL ,/archive/2017/projects/6341409154007040,https://www.postgresql.org/message-id/CAJvoCuuEgQ%2Bpjv02rjvQN4o9s4_H3HJMdZdQwss2b0c0-xagEw%40mail.gmail.com,No,No,"My proposal is to target the performance issue regarding the foreign keys for the array index. Any UPDATE or DELETE statement on a Primary Key table would trigger an IR constraint violation check on the Foreign Key table which can only be accomplished by a sequential search. This renders the feature unusable for large tables. I plan to make the array GIN-indexable. Since GIN-Indexes seem very reasonable since GIN is primarily used to search for element values (PK values) that appear within composite items (FK array).  This would greatly decrease the computation time since we can utilize the GIN class operator “<@” (included in). I found some statistics that support the GIN vs. Sequential scan, they are included in the proposal.",,[],[]
6, ASTERIXDB-1371 Support the standard GIS objects ,"Apache AsterixDB is a scalable, open source Big Data Management System (BDMS). It currently supports many data types in the Asterix Data Model (ADM)....", Riyafa Abdul Hameed , Mentor  Ahmed Eldawy , Organization  Apache Software Foundation ,/archive/2017/projects/6341931260968960,https://asterix-gerrit.ics.uci.edu/1974,No,No,"Apache AsterixDB is a scalable, open source Big Data Management System (BDMS). It currently supports many data types in the Asterix Data Model (ADM). This project aims to support all standard spatial object internally and to parse/format the spatial object by using either or both well-known format or/and geojson format.",,[],[]
